,IL4,PER3,C9orf72 ,EIF3H,EIF3H,MUC7,PRNP,NOP56,CSTB,TMCO1,IL1RN,FXN,TCHH,PRDM9,EIF4A3,TENT5A,GP1BA,CUL4A,AVPR1A,NLRP3,MUC22,ACAN,CEL,WDR7,CNBP,SLC6A4,SLC6A4,PCSK6,HCG22,HIC1,MAOA,MAOA,SLC6A3,TAF1,SLC6A3,NACA,SLC6A3,PLIN4,NOS3,DRD4,MUC6,INS,VWA1,FRA16B,MUC1,ABCA7,CACNA1C,DUX4,median over VNTRs
HG03540,50.0,45.0,53.0,53.0,53.0,49.0,53.0,39.0,53.0,52.0,64.0,53.0,40.0,46.0,54.0,42.0,53.0,55.0,48.0,47.0,43.0,52.0,55.0,47.0,43.0,60.0,60.0,62.0,38.0,56.0,32.0,32.0,44.0,48.0,44.0,39.0,44.0,33.0,37.0,38.0,49.0,35.0,19.0,4.0,29.0,2.0,0.0,1.0,46.5
HG02622,53.0,56.0,35.0,54.0,54.0,47.0,63.0,37.0,49.0,55.0,51.0,40.0,47.0,50.0,49.0,48.0,43.0,62.0,50.0,42.0,32.0,50.0,46.0,26.0,46.0,51.0,51.0,38.0,47.0,61.0,39.0,39.0,41.0,42.0,41.0,32.0,41.0,40.0,38.0,32.0,28.0,18.0,14.0,6.0,24.0,5.0,0.0,1.0,42.0
HG03453,45.0,43.0,57.0,45.0,45.0,35.0,35.0,55.0,53.0,51.0,39.0,38.0,35.0,42.0,58.0,43.0,46.0,42.0,42.0,51.0,37.0,40.0,40.0,40.0,30.0,49.0,49.0,37.0,46.0,39.0,31.0,31.0,45.0,38.0,45.0,35.0,45.0,33.0,35.0,30.0,34.0,15.0,15.0,16.0,15.0,7.0,0.0,0.0,39.5
HG02717,67.0,51.0,59.0,44.0,44.0,36.0,44.0,43.0,40.0,40.0,55.0,43.0,48.0,42.0,43.0,46.0,39.0,38.0,41.0,36.0,52.0,49.0,48.0,41.0,31.0,33.0,33.0,55.0,41.0,34.0,30.0,30.0,33.0,29.0,33.0,31.0,33.0,38.0,25.0,36.0,30.0,31.0,25.0,3.0,14.0,5.0,0.0,1.0,38.0
HG02630,55.0,35.0,48.0,46.0,46.0,26.0,40.0,51.0,48.0,34.0,50.0,42.0,38.0,27.0,47.0,42.0,51.0,23.0,40.0,54.0,38.0,43.0,38.0,18.0,35.0,42.0,42.0,34.0,44.0,52.0,40.0,40.0,30.0,46.0,30.0,37.0,30.0,38.0,24.0,46.0,37.0,19.0,19.0,3.0,22.0,4.0,0.0,0.0,38.0
HG03579,46.0,56.0,44.0,38.0,38.0,45.0,39.0,44.0,46.0,36.0,38.0,44.0,48.0,43.0,38.0,32.0,48.0,38.0,48.0,29.0,37.0,37.0,47.0,41.0,32.0,31.0,31.0,53.0,42.0,42.0,11.0,11.0,47.0,19.0,47.0,27.0,47.0,27.0,31.0,39.0,34.0,17.0,28.0,8.0,8.0,3.0,0.0,0.0,38.0
HG00735,43.0,42.0,46.0,45.0,45.0,40.0,36.0,48.0,34.0,54.0,48.0,52.0,37.0,41.0,36.0,43.0,33.0,32.0,42.0,46.0,42.0,45.0,35.0,40.0,47.0,30.0,30.0,37.0,38.0,28.0,41.0,41.0,27.0,40.0,27.0,30.0,27.0,30.0,17.0,18.0,23.0,21.0,13.0,9.0,11.0,3.0,0.0,0.0,36.5
HG01361,35.0,45.0,44.0,40.0,40.0,42.0,45.0,52.0,23.0,43.0,42.0,39.0,48.0,40.0,44.0,40.0,38.0,36.0,31.0,41.0,32.0,35.0,39.0,34.0,31.0,38.0,38.0,35.0,33.0,29.0,36.0,36.0,39.0,25.0,39.0,27.0,39.0,32.0,19.0,24.0,31.0,23.0,8.0,33.0,7.0,2.0,1.0,0.0,36.0
HG00673,46.0,44.0,55.0,54.0,54.0,38.0,53.0,52.0,37.0,39.0,47.0,34.0,49.0,46.0,45.0,33.0,42.0,51.0,42.0,34.0,36.0,44.0,35.0,27.0,28.0,42.0,42.0,48.0,31.0,34.0,16.0,16.0,23.0,22.0,23.0,22.0,23.0,30.0,32.0,39.0,26.0,28.0,21.0,15.0,14.0,4.0,0.0,0.0,34.5
HG02486,44.0,44.0,41.0,46.0,46.0,50.0,40.0,35.0,42.0,29.0,45.0,40.0,35.0,38.0,48.0,43.0,38.0,26.0,47.0,36.0,55.0,42.0,51.0,46.0,36.0,29.0,29.0,36.0,32.0,28.0,16.0,16.0,34.0,23.0,34.0,29.0,34.0,23.0,17.0,21.0,29.0,20.0,11.0,18.0,14.0,1.0,0.0,0.0,34.5
HG01891,39.0,36.0,39.0,42.0,42.0,37.0,42.0,42.0,40.0,24.0,33.0,36.0,63.0,36.0,45.0,27.0,41.0,52.0,37.0,35.0,36.0,34.0,27.0,36.0,36.0,42.0,42.0,26.0,31.0,32.0,34.0,34.0,23.0,41.0,23.0,23.0,23.0,23.0,20.0,28.0,20.0,36.0,16.0,13.0,12.0,6.0,6.0,0.0,34.5
HG02559,42.0,32.0,51.0,39.0,39.0,46.0,46.0,43.0,33.0,45.0,49.0,38.0,35.0,46.0,37.0,36.0,38.0,43.0,41.0,37.0,46.0,37.0,29.0,35.0,34.0,34.0,34.0,27.0,33.0,40.0,33.0,33.0,30.0,28.0,30.0,21.0,30.0,37.0,24.0,19.0,26.0,20.0,18.0,26.0,5.0,3.0,0.0,0.0,34.0
HG01952,41.0,49.0,34.0,38.0,38.0,50.0,36.0,36.0,35.0,31.0,47.0,43.0,40.0,43.0,56.0,26.0,38.0,49.0,44.0,36.0,15.0,29.0,37.0,38.0,50.0,34.0,34.0,34.0,23.0,32.0,9.0,9.0,34.0,17.0,34.0,23.0,34.0,25.0,23.0,29.0,19.0,18.0,15.0,6.0,13.0,1.0,0.0,1.0,34.0
HG00438,44.0,34.0,62.0,48.0,48.0,52.0,42.0,36.0,39.0,45.0,39.0,33.0,38.0,49.0,38.0,37.0,34.0,22.0,32.0,39.0,31.0,35.0,25.0,25.0,42.0,43.0,43.0,34.0,28.0,30.0,39.0,39.0,19.0,40.0,19.0,25.0,19.0,24.0,28.0,22.0,19.0,24.0,14.0,6.0,10.0,2.0,0.0,0.0,34.0
HG01978,43.0,43.0,32.0,45.0,45.0,49.0,39.0,42.0,40.0,43.0,39.0,39.0,45.0,40.0,42.0,40.0,29.0,28.0,35.0,35.0,34.0,41.0,40.0,21.0,30.0,33.0,33.0,41.0,21.0,31.0,37.0,37.0,17.0,37.0,17.0,25.0,17.0,26.0,26.0,27.0,18.0,21.0,7.0,14.0,8.0,3.0,0.0,0.0,33.5
HG01175,43.0,38.0,40.0,51.0,51.0,37.0,37.0,32.0,39.0,64.0,44.0,44.0,39.0,39.0,28.0,35.0,34.0,38.0,41.0,33.0,36.0,29.0,31.0,32.0,28.0,34.0,34.0,42.0,30.0,26.0,36.0,36.0,28.0,37.0,28.0,32.0,28.0,29.0,25.0,29.0,16.0,19.0,12.0,8.0,9.0,3.0,0.0,0.0,33.5
HG02148,35.0,44.0,49.0,36.0,36.0,34.0,34.0,39.0,34.0,33.0,40.0,43.0,32.0,39.0,43.0,38.0,40.0,30.0,33.0,38.0,46.0,31.0,26.0,31.0,33.0,36.0,36.0,32.0,32.0,21.0,37.0,37.0,19.0,29.0,19.0,31.0,19.0,26.0,25.0,24.0,27.0,25.0,14.0,14.0,17.0,4.0,0.0,0.0,32.5
HG02886,57.0,37.0,42.0,41.0,41.0,33.0,27.0,41.0,46.0,40.0,52.0,24.0,31.0,30.0,38.0,30.0,36.0,37.0,34.0,36.0,32.0,39.0,30.0,27.0,32.0,46.0,46.0,34.0,34.0,27.0,24.0,24.0,43.0,30.0,43.0,28.0,43.0,44.0,31.0,25.0,29.0,22.0,20.0,4.0,9.0,6.0,0.0,0.0,32.5
HG01123,41.0,48.0,52.0,35.0,35.0,40.0,40.0,50.0,47.0,38.0,35.0,30.0,33.0,34.0,33.0,40.0,33.0,45.0,36.0,37.0,28.0,36.0,32.0,30.0,38.0,40.0,40.0,43.0,26.0,32.0,32.0,32.0,19.0,30.0,19.0,32.0,19.0,25.0,28.0,21.0,24.0,9.0,12.0,25.0,15.0,1.0,0.0,1.0,32.5
HG00621,54.0,42.0,48.0,59.0,59.0,60.0,51.0,40.0,43.0,33.0,31.0,39.0,42.0,36.0,33.0,34.0,43.0,50.0,36.0,50.0,33.0,40.0,33.0,36.0,31.0,30.0,30.0,29.0,31.0,35.0,25.0,25.0,30.0,20.0,30.0,29.0,30.0,29.0,15.0,22.0,22.0,15.0,13.0,10.0,6.0,3.0,0.0,0.0,32.0
HG03516,50.0,49.0,35.0,34.0,34.0,30.0,42.0,32.0,44.0,36.0,39.0,30.0,39.0,36.0,30.0,33.0,28.0,34.0,34.0,31.0,39.0,33.0,41.0,38.0,34.0,31.0,31.0,28.0,38.0,25.0,35.0,35.0,21.0,45.0,21.0,29.0,21.0,26.0,19.0,20.0,21.0,26.0,14.0,26.0,14.0,6.0,1.0,0.0,31.5
HG01358,47.0,49.0,45.0,34.0,34.0,41.0,55.0,37.0,34.0,44.0,32.0,39.0,49.0,37.0,37.0,32.0,26.0,27.0,30.0,31.0,34.0,25.0,30.0,35.0,37.0,31.0,31.0,38.0,34.0,31.0,20.0,20.0,16.0,18.0,16.0,30.0,16.0,28.0,27.0,31.0,17.0,18.0,9.0,27.0,19.0,2.0,1.0,1.0,31.0
HG01106,34.0,43.0,40.0,30.0,30.0,40.0,35.0,30.0,33.0,41.0,42.0,34.0,30.0,39.0,38.0,39.0,27.0,40.0,36.0,40.0,25.0,26.0,37.0,30.0,38.0,40.0,40.0,30.0,22.0,34.0,11.0,11.0,19.0,15.0,19.0,20.0,19.0,24.0,19.0,24.0,10.0,16.0,11.0,17.0,16.0,3.0,2.0,0.0,30.0
HG00741,33.0,38.0,41.0,41.0,41.0,57.0,43.0,35.0,28.0,38.0,33.0,44.0,30.0,34.0,31.0,39.0,33.0,24.0,34.0,27.0,39.0,35.0,30.0,37.0,29.0,38.0,38.0,34.0,34.0,23.0,29.0,29.0,13.0,27.0,13.0,27.0,13.0,24.0,18.0,16.0,15.0,23.0,5.0,21.0,13.0,4.0,0.0,1.0,30.0
HG01258,42.0,34.0,38.0,48.0,48.0,42.0,51.0,27.0,27.0,39.0,37.0,43.0,38.0,50.0,33.0,24.0,30.0,33.0,30.0,32.0,33.0,34.0,34.0,27.0,33.0,30.0,30.0,34.0,37.0,32.0,18.0,18.0,30.0,13.0,30.0,17.0,30.0,23.0,17.0,23.0,23.0,21.0,15.0,24.0,7.0,0.0,0.0,0.0,30.0
HG02257,43.0,52.0,42.0,36.0,36.0,29.0,22.0,40.0,37.0,37.0,22.0,32.0,25.0,29.0,36.0,37.0,26.0,28.0,39.0,39.0,38.0,29.0,31.0,34.0,35.0,29.0,29.0,33.0,27.0,34.0,29.0,29.0,32.0,31.0,32.0,34.0,32.0,23.0,26.0,21.0,28.0,25.0,12.0,15.0,5.0,3.0,0.0,0.0,30.0
HG01928,29.0,37.0,42.0,42.0,42.0,43.0,35.0,30.0,41.0,41.0,39.0,44.0,42.0,38.0,31.0,37.0,33.0,31.0,32.0,26.0,34.0,35.0,30.0,25.0,24.0,26.0,26.0,28.0,35.0,37.0,17.0,17.0,15.0,18.0,15.0,34.0,15.0,28.0,16.0,9.0,12.0,18.0,9.0,18.0,8.0,0.0,0.0,0.0,29.5
HG02572,33.0,30.0,29.0,38.0,38.0,35.0,25.0,20.0,32.0,39.0,17.0,21.0,39.0,25.0,38.0,36.0,22.0,25.0,24.0,32.0,29.0,15.0,24.0,48.0,37.0,11.0,11.0,24.0,25.0,22.0,7.0,7.0,18.0,16.0,18.0,15.0,18.0,8.0,11.0,19.0,15.0,1.0,5.0,12.0,11.0,3.0,0.0,0.0,21.5
"median over
samples",43.0,43.0,43.0,42.0,42.0,40.5,40.0,39.5,39.5,39.5,39.5,39.0,39.0,39.0,38.0,37.0,37.0,36.5,36.5,36.0,36.0,35.5,34.5,34.5,34.0,34.0,34.0,34.0,33.0,32.0,30.5,30.5,29.0,29.0,29.0,29.0,29.0,27.5,24.5,24.0,23.5,20.5,14.0,14.0,12.5,3.0,0.0,0.0,0.0
